iter	RMSE
0	81745.48349
1	76464.59818
2	71401.11404
3	67009.38467
4	62667.47804
5	59028.9505
6	56016.44724
7	52676.956
8	50454.74826
9	48199.54448
10	45808.70296
11	44072.7748
12	42546.90841
13	41107.44024
14	39666.44044
15	38192.49854
16	36945.18674
17	35793.71884
18	34527.40091
19	33719.58318
20	32915.77582
21	31951.74164
22	31125.15496
23	30464.23134
24	29885.92926
25	29484.16202
26	28885.90921
27	28480.58833
28	27962.13405
29	27609.66222
30	27224.01927
31	27051.54031
32	26821.95911
33	26623.49833
34	26199.5378
35	25853.40497
36	25528.07828
37	25413.12336
38	25144.81428
39	24862.67623
40	24669.24857
41	24546.66485
42	24272.72998
43	24080.42021
44	23808.5385
45	23684.56759
46	23464.61915
47	23267.98494
48	23131.83686
49	22948.7402
50	22768.99767
51	22636.93282
52	22451.18211
53	22358.36985
54	22220.01671
55	22140.5728
56	22046.25248
57	21996.62552
58	21692.7804
59	21638.02286
60	21566.83304
61	21452.13374
62	21353.44324
63	21179.92408
64	21082.61882
65	20994.96196
66	20766.86814
67	20613.86361
68	20470.98804
69	20333.93898
70	20244.00411
71	20129.74218
72	20009.88082
73	19872.78327
74	19790.12554
75	19731.71099
76	19538.40266
77	19474.58265
78	19398.09644
79	19280.34287
80	19197.7
81	19109.53539
82	19058.35253
83	18890.28644
84	18796.89936
85	18725.02564
86	18581.34243
87	18565.27631
88	18514.87272
89	18456.02925
90	18380.96735
91	18288.65409
92	18180.55486
93	18117.40569
94	17983.68274
95	17896.04307
96	17786.2813
97	17729.82516
98	17645.16626
99	17535.63076
