iter	Passed	Remaining
0	0	23
1	0	22
2	0	23
3	1	24
4	1	24
5	1	24
6	1	25
7	2	25
8	2	25
9	2	25
10	3	25
11	3	25
12	3	25
13	4	25
14	4	25
15	4	25
16	5	24
17	5	24
18	5	24
19	6	24
20	6	23
21	6	23
22	6	23
23	7	23
24	7	22
25	7	22
26	8	22
27	8	21
28	8	21
29	8	20
30	9	20
31	9	20
32	9	20
33	10	19
34	10	19
35	10	19
36	11	18
37	11	18
38	11	18
39	12	18
40	12	17
41	12	17
42	12	17
43	13	16
44	13	16
45	13	16
46	14	16
47	14	15
48	14	15
49	15	15
50	15	14
51	15	14
52	16	14
53	16	14
54	16	13
55	17	13
56	17	13
57	17	12
58	18	12
59	18	12
60	18	11
61	18	11
62	19	11
63	19	11
64	19	10
65	20	10
66	20	10
67	20	9
68	21	9
69	21	9
70	21	8
71	22	8
72	22	8
73	22	7
74	23	7
75	23	7
76	23	7
77	23	6
78	24	6
79	24	6
80	24	5
81	25	5
82	25	5
83	25	4
84	26	4
85	26	4
86	26	3
87	26	3
88	27	3
89	27	3
90	27	2
91	28	2
92	28	2
93	28	1
94	29	1
95	29	1
96	29	0
97	29	0
98	30	0
99	30	0
